id,category,value
376,CategoryA,180
377,CategoryC,220
378,CategoryB,190
379,CategoryA,210
380,CategoryC,160
381,CategoryA,100
382,CategoryB,200
383,CategoryA,150
384,CategoryC,300
385,CategoryB,250
386,CategoryA,180
387,CategoryC,220
388,CategoryB,190
389,CategoryA,210
390,CategoryC,160
391,CategoryA,100
392,CategoryB,200
393,CategoryA,150
394,CategoryC,300
395,CategoryB,250
396,CategoryA,180
397,CategoryC,220
398,CategoryB,190
399,CategoryA,210
400,CategoryC,160
401,CategoryA,100
402,CategoryB,200
403,CategoryA,150
404,CategoryC,300
405,CategoryB,250
406,CategoryA,180
407,CategoryC,220
408,CategoryB,190
409,CategoryA,210
410,CategoryC,160
411,CategoryA,100
412,CategoryB,200
413,CategoryA,150
414,CategoryC,300
415,CategoryB,250
416,CategoryA,180
417,CategoryC,220
418,CategoryB,190
419,CategoryA,210
420,CategoryC,160
421,CategoryA,100
422,CategoryB,200
423,CategoryA,150
424,CategoryC,300
425,CategoryB,250
426,CategoryA,180
427,CategoryC,220
428,CategoryB,190
429,CategoryA,210
430,CategoryC,160
431,CategoryA,100
432,CategoryB,200
433,CategoryA,150
434,CategoryC,300
435,CategoryB,250
436,CategoryA,180
437,CategoryC,220
438,CategoryB,190
439,CategoryA,210
440,CategoryC,160
441,CategoryA,100
442,CategoryB,200
443,CategoryA,150
444,CategoryC,300
445,CategoryB,250
446,CategoryA,180
447,CategoryC,220
448,CategoryB,190
449,CategoryA,210
450,CategoryC,160
451,CategoryA,100
452,CategoryB,200
453,CategoryA,150
454,CategoryC,300
455,CategoryB,250
456,CategoryA,180
457,CategoryC,220
458,CategoryB,190
459,CategoryA,210
460,CategoryC,160
461,CategoryA,100
462,CategoryB,200
463,CategoryA,150
464,CategoryC,300
465,CategoryB,250
466,CategoryA,180
467,CategoryC,220
468,CategoryB,190
469,CategoryA,210
470,CategoryC,160
471,CategoryA,100
472,CategoryB,200
473,CategoryA,150
474,CategoryC,300
475,CategoryB,250
476,CategoryA,180
477,CategoryC,220
478,CategoryB,190
479,CategoryA,210
480,CategoryC,160
481,CategoryA,100
482,CategoryB,200
483,CategoryA,150
484,CategoryC,300
485,CategoryB,250
486,CategoryA,180
487,CategoryC,220
488,CategoryB,190
489,CategoryA,210
490,CategoryC,160
491,CategoryA,100
492,CategoryB,200
493,CategoryA,150
494,CategoryC,300
495,CategoryB,250
496,CategoryA,180
497,CategoryC,220
498,CategoryB,190
499,CategoryA,210
500,CategoryC,160
501,CategoryA,100
502,CategoryB,200
503,CategoryA,150
504,CategoryC,300
505,CategoryB,250
506,CategoryA,180
507,CategoryC,220
508,CategoryB,190
509,CategoryA,210
510,CategoryC,160
511,CategoryA,100
512,CategoryB,200
513,CategoryA,150
514,CategoryC,300
515,CategoryB,250
516,CategoryA,180
517,CategoryC,220
518,CategoryB,190
519,CategoryA,210
520,CategoryC,160
521,CategoryA,100
522,CategoryB,200
523,CategoryA,150
524,CategoryC,300
525,CategoryB,250
526,CategoryA,180
527,CategoryC,220
528,CategoryB,190
529,CategoryA,210
530,CategoryC,160
531,CategoryA,100
532,CategoryB,200
533,CategoryA,150
534,CategoryC,300
535,CategoryB,250
536,CategoryA,180
537,CategoryC,220
538,CategoryB,190
539,CategoryA,210
540,CategoryC,160
541,CategoryA,100
542,CategoryB,200
543,CategoryA,150
544,CategoryC,300
545,CategoryB,250
546,CategoryA,180
547,CategoryC,220
548,CategoryB,190
549,CategoryA,210
550,CategoryC,160
551,CategoryA,100
552,CategoryB,200
553,CategoryA,150
554,CategoryC,300
555,CategoryB,250
556,CategoryA,180
557,CategoryC,220
558,CategoryB,190
559,CategoryA,210
560,CategoryC,160
561,CategoryA,100
562,CategoryB,200
563,CategoryA,150
564,CategoryC,300
565,CategoryB,250
566,CategoryA,180
567,CategoryC,220
568,CategoryB,190
569,CategoryA,210
570,CategoryC,160
571,CategoryA,100
572,CategoryB,200
573,CategoryA,150
574,CategoryC,300
575,CategoryB,250
576,CategoryA,180
577,CategoryC,220
578,CategoryB,190
579,CategoryA,210
580,CategoryC,160
581,CategoryA,100
582,CategoryB,200
583,CategoryA,150
584,CategoryC,300
585,CategoryB,250
586,CategoryA,180
587,CategoryC,220
588,CategoryB,190
589,CategoryA,210
590,CategoryC,160
591,CategoryA,100
592,CategoryB,200
593,CategoryA,150
594,CategoryC,300
595,CategoryB,250
596,CategoryA,180
597,CategoryC,220
598,CategoryB,190
599,CategoryA,210
600,CategoryC,160
601,CategoryA,100
602,CategoryB,200
603,CategoryA,150
604,CategoryC,300
605,CategoryB,250
606,CategoryA,180
607,CategoryC,220
608,CategoryB,190
609,CategoryA,210
610,CategoryC,160
611,CategoryA,100
612,CategoryB,200
613,CategoryA,150
614,CategoryC,300
615,CategoryB,250
616,CategoryA,180
617,CategoryC,220
618,CategoryB,190
619,CategoryA,210
620,CategoryC,160
621,CategoryA,100
622,CategoryB,200
623,CategoryA,150
624,CategoryC,300
625,CategoryB,250
626,CategoryA,180
627,CategoryC,220
628,CategoryB,190
629,CategoryA,210
630,CategoryC,160
631,CategoryA,100
632,CategoryB,200
633,CategoryA,150
634,CategoryC,300
635,CategoryB,250
636,CategoryA,180
637,CategoryC,220
638,CategoryB,190
639,CategoryA,210
640,CategoryC,160
641,CategoryA,100
642,CategoryB,200
643,CategoryA,150
644,CategoryC,300
645,CategoryB,250
646,CategoryA,180
647,CategoryC,220
648,CategoryB,190
649,CategoryA,210
650,CategoryC,160
651,CategoryA,100
652,CategoryB,200
653,CategoryA,150
654,CategoryC,300
655,CategoryB,250
656,CategoryA,180
657,CategoryC,220
658,CategoryB,190
659,CategoryA,210
660,CategoryC,160
661,CategoryA,100
662,CategoryB,200
663,CategoryA,150
664,CategoryC,300
665,CategoryB,250
666,CategoryA,180
667,CategoryC,220
668,CategoryB,190
669,CategoryA,210
670,CategoryC,160
671,CategoryA,100
672,CategoryB,200
673,CategoryA,150
674,CategoryC,300
675,CategoryB,250
676,CategoryA,180
677,CategoryC,220
678,CategoryB,190
679,CategoryA,210
680,CategoryC,160
681,CategoryA,100
682,CategoryB,200
683,CategoryA,150
684,CategoryC,300
685,CategoryB,250
686,CategoryA,180
687,CategoryC,220
688,CategoryB,190
689,CategoryA,210
690,CategoryC,160
691,CategoryA,100
692,CategoryB,200
693,CategoryA,150
694,CategoryC,300
695,CategoryB,250
696,CategoryA,180
697,CategoryC,220
698,CategoryB,190
699,CategoryA,210
700,CategoryC,160
701,CategoryA,100
702,CategoryB,200
703,CategoryA,150
704,CategoryC,300
705,CategoryB,250
706,CategoryA,180
707,CategoryC,220
708,CategoryB,190
709,CategoryA,210
710,CategoryC,160
711,CategoryA,100
712,CategoryB,200
713,CategoryA,150
714,CategoryC,300
715,CategoryB,250
716,CategoryA,180
717,CategoryC,220
718,CategoryB,190
719,CategoryA,210
720,CategoryC,160
721,CategoryA,100
722,CategoryB,200
723,CategoryA,150
724,CategoryC,300
725,CategoryB,250
726,CategoryA,180
727,CategoryC,220
728,CategoryB,190
729,CategoryA,210
730,CategoryC,160
731,CategoryA,100
732,CategoryB,200
733,CategoryA,150
734,CategoryC,300
735,CategoryB,250
736,CategoryA,180
737,CategoryC,220
738,CategoryB,190
739,CategoryA,210
740,CategoryC,160
741,CategoryA,100
742,CategoryB,200
743,CategoryA,150
744,CategoryC,300
745,CategoryB,250
746,CategoryA,180
747,CategoryC,220
748,CategoryB,190
749,CategoryA,210
750,CategoryC,160
751,CategoryA,100
752,CategoryB,200
753,CategoryA,150
754,CategoryC,300
755,CategoryB,250
756,CategoryA,180
757,CategoryC,220
758,CategoryB,190
759,CategoryA,210
760,CategoryC,160
761,CategoryA,100
762,CategoryB,200
763,CategoryA,150
764,CategoryC,300
765,CategoryB,250
766,CategoryA,180
767,CategoryC,220
768,CategoryB,190
769,CategoryA,210
770,CategoryC,160
771,CategoryA,100
772,CategoryB,200
773,CategoryA,150
774,CategoryC,300
775,CategoryB,250
776,CategoryA,180
777,CategoryC,220
778,CategoryB,190
779,CategoryA,210
780,CategoryC,160
781,CategoryA,100
782,CategoryB,200
783,CategoryA,150
784,CategoryC,300
785,CategoryB,250
786,CategoryA,180
787,CategoryC,220
788,CategoryB,190
789,CategoryA,210
790,CategoryC,160
791,CategoryA,100
792,CategoryB,200
793,CategoryA,150
794,CategoryC,300
795,CategoryB,250
796,CategoryA,180
797,CategoryC,220
798,CategoryB,190
799,CategoryA,210
800,CategoryC,160
801,CategoryA,100
802,CategoryB,200
803,CategoryA,150
804,CategoryC,300
805,CategoryB,250
806,CategoryA,180
807,CategoryC,220
808,CategoryB,190
809,CategoryA,210
810,CategoryC,160
811,CategoryA,100
812,CategoryB,200
813,CategoryA,150
814,CategoryC,300
815,CategoryB,250
816,CategoryA,180
817,CategoryC,220
818,CategoryB,190
819,CategoryA,210
820,CategoryC,160
821,CategoryA,100
822,CategoryB,200
823,CategoryA,150
824,CategoryC,300
825,CategoryB,250
826,CategoryA,180
827,CategoryC,220
828,CategoryB,190
829,CategoryA,210
830,CategoryC,160
831,CategoryA,100
832,CategoryB,200
833,CategoryA,150
834,CategoryC,300
835,CategoryB,250
836,CategoryA,180
837,CategoryC,220
838,CategoryB,190
839,CategoryA,210
840,CategoryC,160
841,CategoryA,100
842,CategoryB,200
843,CategoryA,150
844,CategoryC,300
845,CategoryB,250
846,CategoryA,180
847,CategoryC,220
848,CategoryB,190
849,CategoryA,210
850,CategoryC,160
851,CategoryA,100
852,CategoryB,200
853,CategoryA,150
854,CategoryC,300
855,CategoryB,250
856,CategoryA,180
857,CategoryC,220
858,CategoryB,190
859,CategoryA,210
860,CategoryC,160
861,CategoryA,100
862,CategoryB,200
863,CategoryA,150
864,CategoryC,300
865,CategoryB,250
866,CategoryA,180
867,CategoryC,220
868,CategoryB,190
869,CategoryA,210
870,CategoryC,160
871,CategoryA,100
872,CategoryB,200
873,CategoryA,150
874,CategoryC,300
875,CategoryB,250
876,CategoryA,180
877,CategoryC,220
878,CategoryB,190
879,CategoryA,210
880,CategoryC,160
881,CategoryA,100
882,CategoryB,200
883,CategoryA,150
884,CategoryC,300
885,CategoryB,250
886,CategoryA,180
887,CategoryC,220
888,CategoryB,190
889,CategoryA,210
890,CategoryC,160
891,CategoryA,100
892,CategoryB,200
893,CategoryA,150
894,CategoryC,300
895,CategoryB,250
896,CategoryA,180
897,CategoryC,220
898,CategoryB,190
899,CategoryA,210
900,CategoryC,160
901,CategoryA,100
902,CategoryB,200
903,CategoryA,150
904,CategoryC,300
905,CategoryB,250
906,CategoryA,180
907,CategoryC,220
908,CategoryB,190
909,CategoryA,210
910,CategoryC,160
911,CategoryA,100
912,CategoryB,200
913,CategoryA,150
914,CategoryC,300
915,CategoryB,250
916,CategoryA,180
917,CategoryC,220
918,CategoryB,190
919,CategoryA,210
920,CategoryC,160
921,CategoryA,100
922,CategoryB,200
923,CategoryA,150
924,CategoryC,300
925,CategoryB,250
926,CategoryA,180
927,CategoryC,220
928,CategoryB,190
929,CategoryA,210
930,CategoryC,160
931,CategoryA,100
932,CategoryB,200
933,CategoryA,150
934,CategoryC,300
935,CategoryB,250
936,CategoryA,180
937,CategoryC,220
938,CategoryB,190
939,CategoryA,210
940,CategoryC,160
941,CategoryA,100
942,CategoryB,200
943,CategoryA,150
944,CategoryC,300
945,CategoryB,250
946,CategoryA,180
947,CategoryC,220
948,CategoryB,190
949,CategoryA,210
950,CategoryC,160
951,CategoryA,100
952,CategoryB,200
953,CategoryA,150
954,CategoryC,300
955,CategoryB,250
956,CategoryA,180
957,CategoryC,220
958,CategoryB,190
959,CategoryA,210
960,CategoryC,160
961,CategoryA,100
962,CategoryB,200
963,CategoryA,150
964,CategoryC,300
965,CategoryB,250
966,CategoryA,180
967,CategoryC,220
968,CategoryB,190
969,CategoryA,210
970,CategoryC,160
971,CategoryA,100
972,CategoryB,200
973,CategoryA,150
974,CategoryC,300
975,CategoryB,250
976,CategoryA,180
977,CategoryC,220
978,CategoryB,190
979,CategoryA,210
980,CategoryC,160
981,CategoryA,100
982,CategoryB,200
983,CategoryA,150
984,CategoryC,300
985,CategoryB,250
986,CategoryA,180
987,CategoryC,220
988,CategoryB,190
989,CategoryA,210
990,CategoryC,160
991,CategoryA,100
992,CategoryB,200
993,CategoryA,150
994,CategoryC,300
995,CategoryB,250
996,CategoryA,180
997,CategoryC,220
998,CategoryB,190
999,CategoryA,210
1000,CategoryC,160
1001,CategoryA,100
1002,CategoryB,200
1003,CategoryA,150
1004,CategoryC,300
1005,CategoryB,250
1006,CategoryA,180
1007,CategoryC,220
1008,CategoryB,190
1009,CategoryA,210
1010,CategoryC,160
1011,CategoryA,100
1012,CategoryB,200
1013,CategoryA,150
1014,CategoryC,300
1015,CategoryB,250
1016,CategoryA,180
1017,CategoryC,220
1018,CategoryB,190
1019,CategoryA,210
1020,CategoryC,160
1021,CategoryA,100
1022,CategoryB,200
1023,CategoryA,150
1024,CategoryC,300
1025,CategoryB,250
1026,CategoryA,180
1027,CategoryC,220
1028,CategoryB,190
1029,CategoryA,210
1030,CategoryC,160
1031,CategoryA,100
1032,CategoryB,200
1033,CategoryA,150
1034,CategoryC,300
1035,CategoryB,250
1036,CategoryA,180
1037,CategoryC,220
1038,CategoryB,190
1039,CategoryA,210
1040,CategoryC,160
1041,CategoryA,100
1042,CategoryB,200
1043,CategoryA,150
1044,CategoryC,300
1045,CategoryB,250
1046,CategoryA,180
1047,CategoryC,220
1048,CategoryB,190
1049,CategoryA,210
1050,CategoryC,160
1051,CategoryA,100
1052,CategoryB,200
1053,CategoryA,150
1054,CategoryC,300
1055,CategoryB,250
1056,CategoryA,180
1057,CategoryC,220
1058,CategoryB,190
1059,CategoryA,210
1060,CategoryC,160
1061,CategoryA,100
1062,CategoryB,200
1063,CategoryA,150
1064,CategoryC,300
1065,CategoryB,250
1066,CategoryA,180
1067,CategoryC,220
1068,CategoryB,190
1069,CategoryA,210
1070,CategoryC,160
1071,CategoryA,100
1072,CategoryB,200
1073,CategoryA,150
1074,CategoryC,300
1075,CategoryB,250
1076,CategoryA,180
1077,CategoryC,220
1078,CategoryB,190
1079,CategoryA,210
1080,CategoryC,160
1081,CategoryA,100
1082,CategoryB,200
1083,CategoryA,150
1084,CategoryC,300
1085,CategoryB,250
1086,CategoryA,180
1087,CategoryC,220
1088,CategoryB,190
1089,CategoryA,210
1090,CategoryC,160
1091,CategoryA,100
1092,CategoryB,200
1093,CategoryA,150
1094,CategoryC,300
1095,CategoryB,250
1096,CategoryA,180
1097,CategoryC,220
1098,CategoryB,190
1099,CategoryA,210
1100,CategoryC,160
1101,CategoryA,100
1102,CategoryB,200
1103,CategoryA,150
1104,CategoryC,300
1105,CategoryB,250
1106,CategoryA,180
1107,CategoryC,220
1108,CategoryB,190
1109,CategoryA,210
1110,CategoryC,160
1111,CategoryA,100
1112,CategoryB,200
1113,CategoryA,150
1114,CategoryC,300
1115,CategoryB,250
1116,CategoryA,180
1117,CategoryC,220
1118,CategoryB,190
1119,CategoryA,210
1120,CategoryC,160
1121,CategoryA,100
1122,CategoryB,200
1123,CategoryA,150
1124,CategoryC,300
1125,CategoryB,250
1126,CategoryA,180
1127,CategoryC,220
1128,CategoryB,190
1129,CategoryA,210
1130,CategoryC,160
1131,CategoryA,100
1132,CategoryB,200
1133,CategoryA,150
1134,CategoryC,300
1135,CategoryB,250
1136,CategoryA,180
1137,CategoryC,220
1138,CategoryB,190
1139,CategoryA,210
1140,CategoryC,160
1141,CategoryA,100
1142,CategoryB,200
1143,CategoryA,150
1144,CategoryC,300
1145,CategoryB,250
1146,CategoryA,180
1147,CategoryC,220
1148,CategoryB,190
1149,CategoryA,210
1150,CategoryC,160
1151,CategoryA,100
1152,CategoryB,200
1153,CategoryA,150
1154,CategoryC,300
1155,CategoryB,250
1156,CategoryA,180
1157,CategoryC,220
1158,CategoryB,190
1159,CategoryA,210
1160,CategoryC,160
1161,CategoryA,100
1162,CategoryB,200
1163,CategoryA,150
1164,CategoryC,300
1165,CategoryB,250
1166,CategoryA,180
1167,CategoryC,220
1168,CategoryB,190
1169,CategoryA,210
1170,CategoryC,160
1171,CategoryA,100
1172,CategoryB,200
1173,CategoryA,150
1174,CategoryC,300
1175,CategoryB,250
1176,CategoryA,180
1177,CategoryC,220
1178,CategoryB,190
1179,CategoryA,210
1180,CategoryC,160
1181,CategoryA,100
1182,CategoryB,200
1183,CategoryA,150
1184,CategoryC,300
1185,CategoryB,250
1186,CategoryA,180
1187,CategoryC,220
1188,CategoryB,190
1189,CategoryA,210
1190,CategoryC,160
1191,CategoryA,100
1192,CategoryB,200
1193,CategoryA,150
1194,CategoryC,300
1195,CategoryB,250
1196,CategoryA,180
1197,CategoryC,220
1198,CategoryB,190
1199,CategoryA,210
1200,CategoryC,160
1201,CategoryA,100
1202,CategoryB,200
1203,CategoryA,150
1204,CategoryC,300
1205,CategoryB,250
1206,CategoryA,180
1207,CategoryC,220
1208,CategoryB,190
1209,CategoryA,210
1210,CategoryC,160
1211,CategoryA,100
1212,CategoryB,200
1213,CategoryA,150
1214,CategoryC,300
1215,CategoryB,250
1216,CategoryA,180
1217,CategoryC,220
1218,CategoryB,190
1219,CategoryA,210
1220,CategoryC,160
1221,CategoryA,100
1222,CategoryB,200
1223,CategoryA,150
1224,CategoryC,300
1225,CategoryB,250
1226,CategoryA,180
1227,CategoryC,220
1228,CategoryB,190
1229,CategoryA,210
1230,CategoryC,160
1231,CategoryA,100
1232,CategoryB,200
1233,CategoryA,150
1234,CategoryC,300
1235,CategoryB,250
1236,CategoryA,180
1237,CategoryC,220
1238,CategoryB,190
1239,CategoryA,210
1240,CategoryC,160
1241,CategoryA,100
1242,CategoryB,200
1243,CategoryA,150
1244,CategoryC,300
1245,CategoryB,250
1246,CategoryA,180
1247,CategoryC,220
1248,CategoryB,190
1249,CategoryA,210
1250,CategoryC,160
1251,CategoryA,100
1252,CategoryB,200
1253,CategoryA,150
1254,CategoryC,300
1255,CategoryB,250
1256,CategoryA,180
1257,CategoryC,220
1258,CategoryB,190
1259,CategoryA,210
1260,CategoryC,160
1261,CategoryA,100
1262,CategoryB,200
1263,CategoryA,150
1264,CategoryC,300
1265,CategoryB,250
1266,CategoryA,180
1267,CategoryC,220
1268,CategoryB,190
1269,CategoryA,210
1270,CategoryC,160
1271,CategoryA,100
1272,CategoryB,200
1273,CategoryA,150
1274,CategoryC,300
1275,CategoryB,250
1276,CategoryA,180
1277,CategoryC,220
1278,CategoryB,190
1279,CategoryA,210
1280,CategoryC,160
1281,CategoryA,100
1282,CategoryB,200
1283,CategoryA,150
1284,CategoryC,300
1285,CategoryB,250
1286,CategoryA,180
1287,CategoryC,220
1288,CategoryB,190
1289,CategoryA,210
1290,CategoryC,160
1291,CategoryA,100
1292,CategoryB,200
1293,CategoryA,150
1294,CategoryC,300
1295,CategoryB,250
1296,CategoryA,180
1297,CategoryC,220
1298,CategoryB,190
1299,CategoryA,210
1300,CategoryC,160
1301,CategoryA,100
1302,CategoryB,200
1303,CategoryA,150
1304,CategoryC,300
1305,CategoryB,250
1306,CategoryA,180
1307,CategoryC,220
1308,CategoryB,190
1309,CategoryA,210
1310,CategoryC,160
1311,CategoryA,100
1312,CategoryB,200
1313,CategoryA,150
1314,CategoryC,300
1315,CategoryB,250
1316,CategoryA,180
1317,CategoryC,220
1318,CategoryB,190
1319,CategoryA,210
1320,CategoryC,160
1321,CategoryA,100
1322,CategoryB,200
1323,CategoryA,150
1324,CategoryC,300
1325,CategoryB,250
1326,CategoryA,180
1327,CategoryC,220
1328,CategoryB,190
1329,CategoryA,210
1330,CategoryC,160
1331,CategoryA,100
1332,CategoryB,200
1333,CategoryA,150
1334,CategoryC,300
1335,CategoryB,250
1336,CategoryA,180
1337,CategoryC,220
1338,CategoryB,190
1339,CategoryA,210
1340,CategoryC,160
1341,CategoryA,100
1342,CategoryB,200
1343,CategoryA,150
1344,CategoryC,300
1345,CategoryB,250
1346,CategoryA,180
1347,CategoryC,220
1348,CategoryB,190
1349,CategoryA,210
1350,CategoryC,160
1351,CategoryA,100
1352,CategoryB,200
1353,CategoryA,150
1354,CategoryC,300
1355,CategoryB,250
1356,CategoryA,180
1357,CategoryC,220
1358,CategoryB,190
1359,CategoryA,210
1360,CategoryC,160
1361,CategoryA,100
1362,CategoryB,200
